,Unnamed: 0,closed,opened,duration,status,seg_id,created,ID,decision,score,assignee_masked,unique_task_id,avg_opened_time
493,493,2022-01-03 15:27:53.000999936,1641223533747000064,138.0,closed,864691136134428555,2021-12-30 13:29:06.945000000,2,yesConditional,0.5,1,8646911361344285552,1.330520006476721e+18
494,494,2022-01-03 15:49:10.416999936,1641224300988999936,640.0,closed,864691136134428555,2021-12-30 13:29:06.945000000,2,yes,1.0,2,8646911361344285552,1.330520006476721e+18
495,495,2022-01-03 15:23:28.500999936,1641223367507000064,39.0,closed,864691136134428555,2021-12-30 13:29:06.945000000,2,yes,1.0,3,8646911361344285552,1.330520006476721e+18
496,496,2022-01-03 15:22:54.919000064,1641223307967000064,65.0,closed,864691136134428555,2021-12-30 13:29:06.945000000,2,yes,1.0,4,8646911361344285552,1.330520006476721e+18
497,497,2022-01-03 15:27:25.025999872,1641223433452000000,108.0,closed,864691136134428555,2021-12-30 13:29:06.945000000,2,yes,1.0,5,8646911361344285552,1.330520006476721e+18
513,513,2022-01-03 14:31:48.300000000,1641220112287000064,194.0,closed,864691136134428555,2021-12-30 13:29:06.945000000,2,yes,1.0,21,8646911361344285552,1.330520006476721e+18
511,511,2022-01-03 15:25:09.475000064,1641223447348999936,61.0,closed,864691136134428555,2021-12-30 13:29:06.945000000,2,yes,1.0,19,8646911361344285552,1.330520006476721e+18
507,507,2022-01-03 15:39:24.331000064,1641224173592999936,190.0,closed,864691136134428555,2021-12-30 13:29:06.945000000,2,yes,1.0,15,8646911361344285552,1.330520006476721e+18
512,512,2022-01-03 15:29:23.300999936,1641223649547000064,111.0,closed,864691136134428555,2021-12-30 13:29:06.945000000,2,yes,1.0,20,8646911361344285552,1.330520006476721e+18
515,515,2022-01-03 14:28:33.288999936,1641219885105999872,227.0,closed,864691136134428555,2021-12-30 13:29:06.945000000,2,yes,1.0,23,8646911361344285552,1.330520006476721e+18
506,506,2022-01-04 19:57:19.116000000,1641326023884999936,214.0,closed,864691136134428555,2021-12-30 13:29:06.945000000,2,yes,1.0,14,8646911361344285552,1.330520006476721e+18
509,509,2022-01-03 15:30:51.572999936,1641223753879000064,96.0,closed,864691136134428555,2021-12-30 13:29:06.945000000,2,yes,1.0,17,8646911361344285552,1.330520006476721e+18
499,499,2022-01-03 15:29:59.132999936,1641223571896999936,226.0,closed,864691136134428555,2021-12-30 13:29:06.945000000,2,yes,1.0,7,8646911361344285552,1.330520006476721e+18
514,514,2022-01-03 15:26:10.721999872,1641223426555000064,143.0,closed,864691136134428555,2021-12-30 13:29:06.945000000,2,yes,1.0,22,8646911361344285552,1.330520006476721e+18
1647,1647,2022-01-03 15:07:12.696000000,1641222380172000000,52.0,closed,864691136134428555,2021-12-30 13:31:14.772000000,2,yes,1.0,25,8646911361344285552,1.330520006476721e+18
503,503,2022-01-10 20:14:28.583000064,1641845445313999872,222.0,closed,864691136134428555,2021-12-30 13:29:06.945000000,2,yes,1.0,11,8646911361344285552,1.330520006476721e+18
1744,1744,2022-01-05 15:50:40.323000064,1641219882960000000,432.0,closed,864691136134428555,2022-01-03 13:40:42.645000000,2,yes,1.0,1000,8646911361344285552,1.330520006476721e+18
502,502,2022-01-03 15:33:57.417999872,1641223719512000000,317.0,closed,864691136134428555,2021-12-30 13:29:06.945000000,2,yes,1.0,10,8646911361344285552,1.330520006476721e+18
501,501,2022-01-03 15:24:54.120999936,1641223436816999936,57.0,closed,864691136134428555,2021-12-30 13:29:06.945000000,2,yes,1.0,9,8646911361344285552,1.330520006476721e+18
505,505,2022-01-03 15:19:27.591000064,1641219886335000064,1177.0,closed,864691136134428555,2021-12-30 13:29:06.945000000,2,yes,1.0,13,8646911361344285552,1.330520006476721e+18
500,500,2022-01-03 15:31:36.969999872,1641223558816999936,337.0,closed,864691136134428555,2021-12-30 13:29:06.945000000,2,yes,1.0,8,8646911361344285552,1.330520006476721e+18
498,498,2022-01-03 15:30:12.960000000,1641223465326000128,177.0,closed,864691136134428555,2021-12-30 13:29:06.945000000,2,yesConditional,0.5,6,8646911361344285552,1.330520006476721e+18
516,516,2022-01-03 15:22:24.484999936,1641223297859000064,45.0,closed,864691136134428555,2021-12-30 13:29:06.945000000,2,yes,1.0,24,8646911361344285552,1.330520006476721e+18
1648,1648,2022-01-03 15:24:27.547000064,-9223372036854775808,339.0,closed,864691136134428555,2021-12-30 13:31:14.772000000,2,no,0.0,26,8646911361344285552,1.330520006476721e+18
