,Unnamed: 0,closed,opened,duration,status,seg_id,created,ID,decision,score,assignee_masked,unique_task_id,avg_opened_time
1897,1897,2022-01-04 19:46:13.564000000,1641325487796000000,84.0,closed,864691135564556311,2022-01-04 13:00:10.797000000,105,yes,0.0,2,864691135564556311105,1.6412571388351726e+18
1913,1913,2022-01-04 17:18:23.704000000,1641316627267000064,75.0,closed,864691135564556311,2022-01-04 13:00:10.797000000,105,yesConditional,1.0,18,864691135564556311105,1.6412571388351726e+18
1920,1920,2022-01-04 16:48:50.062000128,1641314836512999936,92.0,closed,864691135564556311,2022-01-04 13:00:10.797000000,105,yesConditional,1.0,23,864691135564556311105,1.6412571388351726e+18
1912,1912,2022-01-04 18:04:57.774000128,1641319368500000000,127.0,closed,864691135564556311,2022-01-04 13:00:10.797000000,105,yesConditional,1.0,17,864691135564556311105,1.6412571388351726e+18
1917,1917,2022-01-04 16:16:30.175000064,1641312882030000128,107.0,closed,864691135564556311,2022-01-04 13:00:10.797000000,105,yesConditional,1.0,26,864691135564556311105,1.6412571388351726e+18
1921,1921,2022-01-04 16:10:44.072999936,1641312511727000064,131.0,closed,864691135564556311,2022-01-04 13:00:10.797000000,105,yesConditional,1.0,24,864691135564556311105,1.6412571388351726e+18
1908,1908,2022-01-04 17:55:19.350000128,1641318776935000064,141.0,closed,864691135564556311,2022-01-04 13:00:10.797000000,105,yesConditional,1.0,13,864691135564556311105,1.6412571388351726e+18
1907,1907,2022-01-04 17:11:10.401999872,1641316137419000064,132.0,closed,864691135564556311,2022-01-04 13:00:10.797000000,105,yesConditional,1.0,12,864691135564556311105,1.6412571388351726e+18
1906,1906,2022-01-13 12:19:46.222000128,1642076356752999936,29.0,closed,864691135564556311,2022-01-04 13:00:10.797000000,105,errorNearby,0.5,11,864691135564556311105,1.6412571388351726e+18
1911,1911,2022-01-04 17:53:28.265999872,1641318728424000000,78.0,closed,864691135564556311,2022-01-04 13:00:10.797000000,105,yesConditional,1.0,16,864691135564556311105,1.6412571388351726e+18
1902,1902,2022-01-04 16:50:04.704999936,1641314450144000000,552.0,closed,864691135564556311,2022-01-04 13:00:10.797000000,105,yesConditional,1.0,7,864691135564556311105,1.6412571388351726e+18
1904,1904,2022-01-04 16:26:04.135000064,1641313419670000128,143.0,closed,864691135564556311,2022-01-04 13:00:10.797000000,105,yes,0.0,9,864691135564556311105,1.6412571388351726e+18
1915,1915,2022-01-04 17:44:58.763000064,1641318162768999936,133.0,closed,864691135564556311,2022-01-04 13:00:10.797000000,105,yesConditional,1.0,20,864691135564556311105,1.6412571388351726e+18
1898,1898,2022-01-04 17:53:28.520000000,1641318729384999936,78.0,closed,864691135564556311,2022-01-04 13:00:10.797000000,105,yesConditional,1.0,3,864691135564556311105,1.6412571388351726e+18
1899,1899,2022-01-04 15:59:15.304999936,1641311870572999936,83.0,closed,864691135564556311,2022-01-04 13:00:10.797000000,105,yesConditional,1.0,4,864691135564556311105,1.6412571388351726e+18
1903,1903,2022-01-04 18:05:59.639000064,1641319408951000064,149.0,closed,864691135564556311,2022-01-04 13:00:10.797000000,105,yesConditional,1.0,8,864691135564556311105,1.6412571388351726e+18
1901,1901,2022-01-04 16:50:18.384999936,1641314899192000000,118.0,closed,864691135564556311,2022-01-04 13:00:10.797000000,105,yes,0.0,6,864691135564556311105,1.6412571388351726e+18
1900,1900,2022-01-04 16:27:29.768999936,1641313455312999936,193.0,closed,864691135564556311,2022-01-04 13:00:10.797000000,105,yesConditional,1.0,5,864691135564556311105,1.6412571388351726e+18
1909,1909,2022-01-05 15:12:16.102000128,1641395411720999936,123.0,closed,864691135564556311,2022-01-04 13:00:10.797000000,105,yesConditional,1.0,14,864691135564556311105,1.6412571388351726e+18
1905,1905,2022-01-04 16:39:17.905999872,1641314247303000064,109.0,closed,864691135564556311,2022-01-04 13:00:10.797000000,105,yesConditional,1.0,10,864691135564556311105,1.6412571388351726e+18
2862,2862,2022-01-06 13:00:35.044000000,1641474018110000128,17.0,closed,864691135564556311,2022-01-06 12:54:31.141000000,105,yesConditional,1.0,1000,864691135564556311105,1.6412571388351726e+18
1910,1910,2022-01-04 16:42:18.472000000,1641314467488999936,70.0,closed,864691135564556311,2022-01-04 13:00:10.797000000,105,yesConditional,1.0,15,864691135564556311105,1.6412571388351726e+18
1914,1914,2022-01-04 17:10:45.623000064,1641316196031000064,48.0,closed,864691135564556311,2022-01-04 13:00:10.797000000,105,yesConditional,1.0,19,864691135564556311105,1.6412571388351726e+18
1919,1919,2022-01-04 17:47:02.775000064,1641318251313999872,170.0,closed,864691135564556311,2022-01-04 13:00:10.797000000,105,yesConditional,1.0,22,864691135564556311105,1.6412571388351726e+18
1918,1918,2022-01-04 18:15:50.763000064,1641319917848999936,230.0,closed,864691135564556311,2022-01-04 13:00:10.797000000,105,yesConditional,1.0,21,864691135564556311105,1.6412571388351726e+18
1916,1916,2022-01-04 16:13:46.318000128,1641312755788999936,69.0,closed,864691135564556311,2022-01-04 13:00:10.797000000,105,yesConditional,1.0,25,864691135564556311105,1.6412571388351726e+18
1896,1896,2022-01-04 19:34:07.203000064,1641323965782000128,880.0,closed,864691135564556311,2022-01-04 13:00:10.797000000,105,yesConditional,1.0,1,864691135564556311105,1.6412571388351726e+18
2552,2552,2022-01-04 18:15:32.854000128,1641320102148999936,29.0,closed,864691135467604108,2022-01-04 13:00:28.338000000,168,no,1.0,7,864691135467604108168,1.6412572019791378e+18
2553,2553,2022-01-04 18:56:24.528000000,1641322556286000128,28.0,closed,864691135467604108,2022-01-04 13:00:28.338000000,168,no,1.0,8,864691135467604108168,1.6412572019791378e+18
2547,2547,2022-01-05 06:21:04.720000000,1641363639241999872,24.0,closed,864691135467604108,2022-01-04 13:00:28.338000000,168,no,1.0,2,864691135467604108168,1.6412572019791378e+18
2555,2555,2022-01-04 19:11:07.584000000,1641323200352000000,266.0,closed,864691135467604108,2022-01-04 13:00:28.338000000,168,no,1.0,10,864691135467604108168,1.6412572019791378e+18
2556,2556,2022-01-13 12:44:22.158000128,1642077828608999936,33.0,closed,864691135467604108,2022-01-04 13:00:28.338000000,168,no,1.0,11,864691135467604108168,1.6412572019791378e+18
2557,2557,2022-01-04 19:07:59.100999936,1641322666844000000,611.0,closed,864691135467604108,2022-01-04 13:00:28.338000000,168,no,1.0,12,864691135467604108168,1.6412572019791378e+18
2560,2560,2022-01-04 18:22:57.224999936,1641320472280999936,103.0,closed,864691135467604108,2022-01-04 13:00:28.338000000,168,no,1.0,15,864691135467604108168,1.6412572019791378e+18
2559,2559,2022-01-05 15:59:27.748000000,1641398311732999936,50.0,closed,864691135467604108,2022-01-04 13:00:28.338000000,168,no,1.0,14,864691135467604108168,1.6412572019791378e+18
2551,2551,2022-01-04 18:21:58.934000128,1641320481238000128,37.0,closed,864691135467604108,2022-01-04 13:00:28.338000000,168,no,1.0,6,864691135467604108168,1.6412572019791378e+18
2569,2569,2022-01-04 19:39:13.144999936,1641324950016000000,202.0,closed,864691135467604108,2022-01-04 13:00:28.338000000,168,no,1.0,22,864691135467604108168,1.6412572019791378e+18
2887,2887,2022-01-06 13:16:30.184000000,1641474974121999872,16.0,closed,864691135467604108,2022-01-06 12:54:33.348000000,168,no,1.0,1000,864691135467604108168,1.6412572019791378e+18
2554,2554,2022-01-04 17:33:57.032999936,1641317600156000000,37.0,closed,864691135467604108,2022-01-04 13:00:28.338000000,168,no,1.0,9,864691135467604108168,1.6412572019791378e+18
2558,2558,2022-01-04 19:31:36.291000064,1641324228751000064,444.0,closed,864691135467604108,2022-01-04 13:00:28.338000000,168,yesConditional,0.5,13,864691135467604108168,1.6412572019791378e+18
2550,2550,2022-01-04 18:11:59.103000064,1641319837940999936,78.0,closed,864691135467604108,2022-01-04 13:00:28.338000000,168,no,1.0,5,864691135467604108168,1.6412572019791378e+18
2570,2570,2022-01-04 18:49:40.331000064,1641322116655000064,62.0,closed,864691135467604108,2022-01-04 13:00:28.338000000,168,no,1.0,23,864691135467604108168,1.6412572019791378e+18
2548,2548,2022-01-04 19:11:40.881999872,1641323481588999936,18.0,closed,864691135467604108,2022-01-04 13:00:28.338000000,168,no,1.0,3,864691135467604108168,1.6412572019791378e+18
2571,2571,2022-01-04 17:28:41.768000000,1641317262136999936,58.0,closed,864691135467604108,2022-01-04 13:00:28.338000000,168,no,1.0,24,864691135467604108168,1.6412572019791378e+18
2566,2566,2022-01-04 16:40:43.687000064,1641314422396000000,21.0,closed,864691135467604108,2022-01-04 13:00:28.338000000,168,no,1.0,25,864691135467604108168,1.6412572019791378e+18
2568,2568,2022-01-04 20:28:27.340000000,1641327919417999872,187.0,closed,864691135467604108,2022-01-04 13:00:28.338000000,168,no,1.0,21,864691135467604108168,1.6412572019791378e+18
2549,2549,2022-01-04 16:46:43.137999872,1641314778208000000,22.0,closed,864691135467604108,2022-01-04 13:00:28.338000000,168,no,1.0,4,864691135467604108168,1.6412572019791378e+18
2565,2565,2022-01-04 18:56:00.016000000,1641322517704999936,40.0,closed,864691135467604108,2022-01-04 13:00:28.338000000,168,no,1.0,20,864691135467604108168,1.6412572019791378e+18
2561,2561,2022-01-04 18:57:40.960000000,1641322575300000000,83.0,closed,864691135467604108,2022-01-04 13:00:28.338000000,168,no,1.0,16,864691135467604108168,1.6412572019791378e+18
2546,2546,2022-01-05 00:51:45.444000000,1641343884224000000,20.0,closed,864691135467604108,2022-01-04 13:00:28.338000000,168,no,1.0,1,864691135467604108168,1.6412572019791378e+18
2563,2563,2022-01-04 18:20:31.697999872,1641320398049999872,32.0,closed,864691135467604108,2022-01-04 13:00:28.338000000,168,no,1.0,18,864691135467604108168,1.6412572019791378e+18
2562,2562,2022-01-04 19:37:20.324999936,1641325004876000000,34.0,closed,864691135467604108,2022-01-04 13:00:28.338000000,168,no,1.0,17,864691135467604108168,1.6412572019791378e+18
2567,2567,2022-01-04 18:13:56.481999872,1641319856176000000,176.0,closed,864691135467604108,2022-01-04 13:00:28.338000000,168,no,1.0,26,864691135467604108168,1.6412572019791378e+18
2564,2564,2022-01-04 18:46:06.665999872,1641321930519000064,34.0,closed,864691135467604108,2022-01-04 13:00:28.338000000,168,no,1.0,19,864691135467604108168,1.6412572019791378e+18
