,run,precision,recall,f1,seg_id,num_endpoints,endpoints,invalidation_d,num_laplacian_iters,decimation_factor,comments,proposed_endpoints
18,19,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,25,0.7455555555555555,good,"[[ 77955 100680  21236]
 [ 77336 106420  21250]
 [ 77295 107822  21215]
 [ 76781  99744  21202]
 [ 77362 106372  21254]]"
19,20,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,25,0.8,good,"[[ 77955 100680  21236]
 [ 77336 106420  21250]
 [ 77295 107822  21215]
 [ 76781  99744  21202]
 [ 77362 106372  21254]]"
20,21,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,50,0.31,good,"[[ 77953 100681  21236]
 [ 77337 106420  21250]
 [ 77295 107823  21215]
 [ 76782  99739  21202]
 [ 77359 106373  21254]]"
21,22,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,50,0.36444444444444446,good,"[[ 77953 100681  21236]
 [ 77337 106420  21250]
 [ 77295 107823  21215]
 [ 76782  99739  21202]
 [ 77359 106373  21254]]"
22,23,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,50,0.41888888888888887,good,"[[ 77953 100681  21236]
 [ 77337 106420  21250]
 [ 77295 107823  21215]
 [ 76782  99739  21202]
 [ 77359 106373  21254]]"
23,24,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,50,0.47333333333333333,good,"[[ 77953 100681  21236]
 [ 77337 106420  21250]
 [ 77295 107823  21215]
 [ 76782  99739  21202]
 [ 77359 106373  21254]]"
24,25,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,50,0.5277777777777778,good,"[[ 77953 100681  21236]
 [ 77337 106420  21250]
 [ 77295 107823  21215]
 [ 76782  99739  21202]
 [ 77359 106373  21254]]"
25,26,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,50,0.5822222222222222,good,"[[ 77953 100681  21236]
 [ 77337 106420  21250]
 [ 77295 107823  21215]
 [ 76782  99739  21202]
 [ 77359 106373  21254]]"
26,27,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,50,0.6366666666666667,good,"[[ 77953 100681  21236]
 [ 77337 106420  21250]
 [ 77295 107823  21215]
 [ 76782  99739  21202]
 [ 77359 106373  21254]]"
27,28,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,50,0.6911111111111111,good,"[[ 77953 100681  21236]
 [ 77337 106420  21250]
 [ 77295 107823  21215]
 [ 76782  99739  21202]
 [ 77359 106373  21254]]"
28,29,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,50,0.7455555555555555,good,"[[ 77953 100681  21236]
 [ 77337 106420  21250]
 [ 77295 107823  21215]
 [ 76782  99739  21202]
 [ 77359 106373  21254]]"
29,30,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,50,0.8,good,"[[ 77953 100681  21236]
 [ 77337 106420  21250]
 [ 77295 107823  21215]
 [ 76782  99739  21202]
 [ 77359 106373  21254]]"
30,31,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,75,0.31,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
31,32,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,75,0.36444444444444446,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
32,33,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,75,0.41888888888888887,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
